total_comms_cost,success_prob_spec
0.4501499934443319,0.9
0.45625179887589745,0.91
0.46235360430746303,0.92
0.4684554097390286,0.93
0.4745572151705941,0.94
0.4806590206021597,0.95
0.4867608260337253,0.96
0.4928626314652908,0.97
0.4989644368968564,0.98
0.6742701671674848,0.99
0.7500000000000021,1.0
